TK_KATOIKIA,GRADE,COURSE
17671,6.0,Στατιστική & Μοντέλα Αποφάσεων
18531,0.1,Περιβαλλοντική Τεχνολογία & CO2
18532,2.6,Επιχειρησιακή Έρευνα & Logistics
12241,-,Στατιστική & Μοντέλα Αποφάσεων
17121,0.2,Επιχειρησιακή Έρευνα & Logistics
12131,5.3,Επιχειρησιακή Έρευνα & Logistics
19012,-,Περιβαλλοντική Τεχνολογία & CO2
12133,3.0,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12243,-,Συστήματα Βιώσιμων Μεταφορών
17343,7.2,Στατιστική & Μοντέλα Αποφάσεων
10431,5.9,Στατιστική & Μοντέλα Αποφάσεων
18450,5.3,Συστήματα Βιώσιμων Μεταφορών
17343,3.0,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
10431,6.5,Στατιστική & Μοντέλα Αποφάσεων
14561,8.1,Επιχειρησιακή Έρευνα & Logistics
18532,5.1,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
18531,6.2,Επιχειρησιακή Έρευνα & Logistics
17343,2.6,Συστήματα Βιώσιμων Μεταφορών
12351,8.1,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12243,1.2,Επιχειρησιακή Έρευνα & Logistics
12131,-,Περιβαλλοντική Τεχνολογία & CO2
12351,0.1,Συστήματα Βιώσιμων Μεταφορών
12131,-,Επιχειρησιακή Έρευνα & Logistics
10434,1.2,Στατιστική & Μοντέλα Αποφάσεων
18532,3.6,Περιβαλλοντική Τεχνολογία & CO2
10447,5.5,Στατιστική & Μοντέλα Αποφάσεων
12244,0.1,Περιβαλλοντική Τεχνολογία & CO2
18120,5.7,Συστήματα Βιώσιμων Μεταφορών
12242,7.2,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12244,1.2,Στατιστική & Μοντέλα Αποφάσεων
17343,6.1,Στατιστική & Μοντέλα Αποφάσεων
18450,5.2,Επιχειρησιακή Έρευνα & Logistics
10447,3.7,Περιβαλλοντική Τεχνολογία & CO2
18450,7.4,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
18450,-,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
18120,3.8,Στατιστική & Μοντέλα Αποφάσεων
12243,0.9,Επιχειρησιακή Έρευνα & Logistics
12133,-,Περιβαλλοντική Τεχνολογία & CO2
12243,5.2,Στατιστική & Μοντέλα Αποφάσεων
18120,3.8,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
18120,0.9,Περιβαλλοντική Τεχνολογία & CO2
13451,4.4,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12133,5.5,Επιχειρησιακή Έρευνα & Logistics
10447,6.3,Επιχειρησιακή Έρευνα & Logistics
18120,3.4,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12242,3.3,Επιχειρησιακή Έρευνα & Logistics
12241,7.3,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
INVALID,0.6,Συστήματα Βιώσιμων Μεταφορών
18450,2.7,Στατιστική & Μοντέλα Αποφάσεων
10434,-,Συστήματα Βιώσιμων Μεταφορών
18532,-,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
10447,-,Επιχειρησιακή Έρευνα & Logistics
12351,1.2,Επιχειρησιακή Έρευνα & Logistics
15771,2.5,Περιβαλλοντική Τεχνολογία & CO2
18531,-,Συστήματα Βιώσιμων Μεταφορών
12461,-,Περιβαλλοντική Τεχνολογία & CO2
11256,3.6,Συστήματα Βιώσιμων Μεταφορών
12135,5.2,Συστήματα Βιώσιμων Μεταφορών
18532,9.2,Στατιστική & Μοντέλα Αποφάσεων
18531,0.3,Επιχειρησιακή Έρευνα & Logistics
15771,1.5,Συστήματα Βιώσιμων Μεταφορών
12351,6.1,Επιχειρησιακή Έρευνα & Logistics
12351,0.7,Συστήματα Βιώσιμων Μεταφορών
18450,-,Περιβαλλοντική Τεχνολογία & CO2
17671,4.3,Στατιστική & Μοντέλα Αποφάσεων
17235,-,Επιχειρησιακή Έρευνα & Logistics
10447,1.1,Περιβαλλοντική Τεχνολογία & CO2
12241,0.2,Στατιστική & Μοντέλα Αποφάσεων
17671,3.7,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
10560,9.1,Περιβαλλοντική Τεχνολογία & CO2
18531,4.2,Συστήματα Βιώσιμων Μεταφορών
10434,3.2,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
10447,2.9,Στατιστική & Μοντέλα Αποφάσεων
18531,2.8,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12243,1.2,Στατιστική & Μοντέλα Αποφάσεων
12243,6.1,Συστήματα Βιώσιμων Μεταφορών
15771,2.6,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
17343,0.1,Περιβαλλοντική Τεχνολογία & CO2
16343,4.2,Συστήματα Βιώσιμων Μεταφορών
18450,8.1,Περιβαλλοντική Τεχνολογία & CO2
12241,3.1,Επιχειρησιακή Έρευνα & Logistics
10431,0.7,Συστήματα Βιώσιμων Μεταφορών
19200,0.4,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12351,8.1,Συστήματα Βιώσιμων Μεταφορών
12242,2.1,Στατιστική & Μοντέλα Αποφάσεων
14576,5.9,Συστήματα Βιώσιμων Μεταφορών
18532,9.5,Περιβαλλοντική Τεχνολογία & CO2
17343,-,Συστήματα Βιώσιμων Μεταφορών
12242,-,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
18450,-,Συστήματα Βιώσιμων Μεταφορών
17675,4.2,Στατιστική & Μοντέλα Αποφάσεων
26221,7.7,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12132,2.5,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
18450,9.6,Περιβαλλοντική Τεχνολογία & CO2
10559,1.4,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
18531,0.0,Στατιστική & Μοντέλα Αποφάσεων
10431,5.0,Επιχειρησιακή Έρευνα & Logistics
15342,5.5,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12461,5.8,Περιβαλλοντική Τεχνολογία & CO2
17121,1.1,Περιβαλλοντική Τεχνολογία & CO2
13451,3.6,Συστήματα Βιώσιμων Μεταφορών
18120,6.0,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12461,0.7,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12133,-,Περιβαλλοντική Τεχνολογία & CO2
18531,5.9,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
54621,6.5,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12131,9.6,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
15122,1.0,Στατιστική & Μοντέλα Αποφάσεων
10434,7.5,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12131,5.7,Επιχειρησιακή Έρευνα & Logistics
18531,0.1,Συστήματα Βιώσιμων Μεταφορών
,3.2,Περιβαλλοντική Τεχνολογία & CO2
12242,-,Επιχειρησιακή Έρευνα & Logistics
15771,3.7,Περιβαλλοντική Τεχνολογία & CO2
12241,8.1,Συστήματα Βιώσιμων Μεταφορών
10431,2.5,Επιχειρησιακή Έρευνα & Logistics
71201,-,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
10434,5.8,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
12131,1.3,Συστήματα Βιώσιμων Μεταφορών
18450,-,Συστήματα Βιώσιμων Μεταφορών
12243,1.0,Περιβαλλοντική Τεχνολογία & CO2
12131,-,Γεωγραφικά Συστήματα Πληροφοριών (GIS)
