STUDENT_ID,TK_KATOIKIA,COURSE,GRADE,SKILL,EFFECTIVE_A
STU_016,18450,COURSE_SEM1_MEDIUM,9.5,-0.01,-0.09
STU_016,18450,COURSE_SEM2_MEDIUM,9.5,-0.01,-0.03
STU_016,18450,COURSE_SEM2_HARD,5.0,-0.01,-0.23
STU_016,18450,COURSE_SEM2_EASY,10.0,-0.01,0.32
STU_016,18450,COURSE_SEM4_HARD,8.0,-0.01,0.07
STU_016,18450,COURSE_SEM4_EASY,10.0,-0.01,0.14
STU_017,11141,COURSE_SEM1_MEDIUM,6.0,0.07,-0.01
STU_017,11141,COURSE_SEM2_MEDIUM,9.0,0.07,0.05
STU_017,11141,COURSE_SEM2_HARD,0.5,0.07,-0.15
STU_017,11141,COURSE_SEM2_EASY,10.0,0.07,0.4
STU_017,11141,COURSE_SEM4_HARD,5.0,0.07,-0.39
STU_017,11141,COURSE_SEM4_EASY,8.0,0.07,0.22
STU_018,10562,COURSE_SEM1_MEDIUM,6.0,-0.01,-0.09
STU_018,10562,COURSE_SEM2_MEDIUM,2.5,-0.01,-0.03
STU_018,10562,COURSE_SEM2_HARD,3.0,-0.01,0.05
STU_018,10562,COURSE_SEM2_EASY,6.5,-0.01,0.32
STU_018,10562,COURSE_SEM4_HARD,0.0,-0.01,-0.47
STU_018,10562,COURSE_SEM4_EASY,10.0,-0.01,0.14
STU_019,18233,COURSE_SEM1_MEDIUM,6.0,-0.09,-0.17
STU_019,18233,COURSE_SEM2_MEDIUM,5.0,-0.09,-0.11
STU_019,18233,COURSE_SEM2_HARD,2.0,-0.09,-0.31
STU_019,18233,COURSE_SEM2_EASY,9.0,-0.09,0.24
STU_019,18233,COURSE_SEM4_HARD,1.0,-0.09,-0.55
STU_019,18233,COURSE_SEM4_EASY,5.0,-0.09,0.06
STU_020,12131,COURSE_SEM1_MEDIUM,8.5,0.08,0.0
STU_020,12131,COURSE_SEM2_MEDIUM,9.5,0.08,0.06
STU_020,12131,COURSE_SEM2_HARD,8.0,0.08,0.14
STU_020,12131,COURSE_SEM2_EASY,10.0,0.08,0.41
STU_020,12131,COURSE_SEM4_HARD,3.0,0.08,0.16
STU_020,12131,COURSE_SEM4_EASY,10.0,0.08,0.23
STU_021,17655,COURSE_SEM1_MEDIUM,9.5,-0.01,-0.09
STU_021,17655,COURSE_SEM2_MEDIUM,3.5,-0.01,-0.03
STU_021,17655,COURSE_SEM2_HARD,7.0,-0.01,-0.23
STU_021,17655,COURSE_SEM2_EASY,10.0,-0.01,0.32
STU_021,17655,COURSE_SEM4_HARD,2.0,-0.01,-0.47
STU_021,17655,COURSE_SEM4_EASY,5.0,-0.01,0.14
STU_022,13501,COURSE_SEM1_MEDIUM,3.0,-0.01,-0.09
STU_022,13501,COURSE_SEM2_MEDIUM,2.0,-0.01,-0.03
STU_022,13501,COURSE_SEM2_HARD,3.0,-0.01,-0.23
STU_022,13501,COURSE_SEM2_EASY,10.0,-0.01,0.32
STU_022,13501,COURSE_SEM4_HARD,3.0,-0.01,-0.47
STU_022,13501,COURSE_SEM4_EASY,8.5,-0.01,0.14
STU_023,14341,COURSE_SEM1_MEDIUM,1.0,-0.02,-0.1
STU_023,14341,COURSE_SEM2_MEDIUM,8.5,-0.02,-0.04
STU_023,14341,COURSE_SEM2_HARD,10.0,-0.02,0.04
STU_023,14341,COURSE_SEM2_EASY,3.5,-0.02,0.31
STU_023,14341,COURSE_SEM4_HARD,8.0,-0.02,0.06
STU_023,14341,COURSE_SEM4_EASY,0.5,-0.02,0.13
STU_024,14564,COURSE_SEM1_MEDIUM,0.5,0.01,-0.07
STU_024,14564,COURSE_SEM2_MEDIUM,6.0,0.01,-0.01
STU_024,14564,COURSE_SEM2_HARD,3.0,0.01,-0.21
STU_024,14564,COURSE_SEM2_EASY,10.0,0.01,0.34
STU_024,14564,COURSE_SEM4_HARD,0.0,0.01,-0.45
STU_024,14564,COURSE_SEM4_EASY,5.0,0.01,0.16
STU_025,18545,COURSE_SEM1_MEDIUM,10.0,0.08,-0.0
STU_025,18545,COURSE_SEM2_MEDIUM,10.0,0.08,0.06
STU_025,18545,COURSE_SEM2_HARD,5.5,0.08,0.14
STU_025,18545,COURSE_SEM2_EASY,5.5,0.08,0.41
STU_025,18545,COURSE_SEM4_HARD,2.0,0.08,-0.38
STU_025,18545,COURSE_SEM4_EASY,10.0,0.08,0.23
STU_026,14121,COURSE_SEM1_MEDIUM,1.0,0.01,-0.07
STU_026,14121,COURSE_SEM2_MEDIUM,8.5,0.01,-0.01
STU_026,14121,COURSE_SEM2_HARD,3.0,0.01,-0.21
STU_026,14121,COURSE_SEM2_EASY,9.0,0.01,0.34
STU_026,14121,COURSE_SEM4_HARD,2.0,0.01,-0.45
STU_026,14121,COURSE_SEM4_EASY,10.0,0.01,0.16
STU_027,10440,COURSE_SEM1_MEDIUM,10.0,0.07,-0.01
STU_027,10440,COURSE_SEM2_MEDIUM,10.0,0.07,0.05
STU_027,10440,COURSE_SEM2_HARD,10.0,0.07,0.13
STU_027,10440,COURSE_SEM2_EASY,10.0,0.07,0.4
STU_027,10440,COURSE_SEM4_HARD,0.0,0.07,-0.39
STU_027,10440,COURSE_SEM4_EASY,5.0,0.07,0.22
STU_028,18534,COURSE_SEM1_MEDIUM,0.0,-0.07,-0.15
STU_028,18534,COURSE_SEM2_MEDIUM,1.0,-0.07,-0.09
STU_028,18534,COURSE_SEM2_HARD,2.0,-0.07,-0.29
STU_028,18534,COURSE_SEM2_EASY,8.0,-0.07,0.26
STU_028,18534,COURSE_SEM4_HARD,1.0,-0.07,-0.53
STU_028,18534,COURSE_SEM4_EASY,10.0,-0.07,0.08
STU_029,10563,COURSE_SEM1_MEDIUM,8.5,-0.01,-0.09
STU_029,10563,COURSE_SEM2_MEDIUM,6.0,-0.01,-0.03
STU_029,10563,COURSE_SEM2_HARD,10.0,-0.01,0.05
STU_029,10563,COURSE_SEM2_EASY,9.5,-0.01,0.32
STU_029,10563,COURSE_SEM4_HARD,0.0,-0.01,-0.47
STU_029,10563,COURSE_SEM4_EASY,7.0,-0.01,0.14
STU_030,13351,COURSE_SEM1_MEDIUM,0.5,-0.06,-0.14
STU_030,13351,COURSE_SEM2_MEDIUM,7.0,-0.06,-0.08
STU_030,13351,COURSE_SEM2_HARD,2.5,-0.06,-0.28
STU_030,13351,COURSE_SEM2_EASY,8.0,-0.06,0.27
STU_030,13351,COURSE_SEM4_HARD,0.0,-0.06,-0.52
STU_030,13351,COURSE_SEM4_EASY,8.0,-0.06,0.09
STU_031,15772,COURSE_SEM1_MEDIUM,5.0,-0.09,-0.17
STU_031,15772,COURSE_SEM2_MEDIUM,4.5,-0.09,-0.11
STU_031,15772,COURSE_SEM2_HARD,10.0,-0.09,-0.31
STU_031,15772,COURSE_SEM2_EASY,8.0,-0.09,0.24
STU_031,15772,COURSE_SEM4_HARD,0.0,-0.09,-0.55
STU_031,15772,COURSE_SEM4_EASY,10.0,-0.09,0.06
STU_032,16231,COURSE_SEM1_MEDIUM,8.5,0.01,-0.07
STU_032,16231,COURSE_SEM2_MEDIUM,0.0,0.01,-0.01
STU_032,16231,COURSE_SEM2_HARD,5.5,0.01,-0.21
STU_032,16231,COURSE_SEM2_EASY,9.0,0.01,0.34
STU_032,16231,COURSE_SEM4_HARD,10.0,0.01,0.09
STU_032,16231,COURSE_SEM4_EASY,8.5,0.01,0.16
STU_033,13671,COURSE_SEM1_MEDIUM,7.5,0.08,0.0
STU_033,13671,COURSE_SEM2_MEDIUM,1.0,0.08,0.06
STU_033,13671,COURSE_SEM2_HARD,10.0,0.08,0.14
STU_033,13671,COURSE_SEM2_EASY,9.5,0.08,0.41
STU_033,13671,COURSE_SEM4_HARD,2.0,0.08,-0.38
STU_033,13671,COURSE_SEM4_EASY,10.0,0.08,0.23
STU_034,10445,COURSE_SEM1_MEDIUM,2.0,-0.08,-0.16
STU_034,10445,COURSE_SEM2_MEDIUM,10.0,-0.08,-0.1
STU_034,10445,COURSE_SEM2_HARD,3.0,-0.08,-0.3
STU_034,10445,COURSE_SEM2_EASY,9.5,-0.08,0.25
STU_034,10445,COURSE_SEM4_HARD,9.5,-0.08,-0.54
STU_034,10445,COURSE_SEM4_EASY,2.0,-0.08,0.07
STU_035,17122,COURSE_SEM1_MEDIUM,8.0,0.08,-0.0
STU_035,17122,COURSE_SEM2_MEDIUM,1.0,0.08,0.06
STU_035,17122,COURSE_SEM2_HARD,10.0,0.08,0.14
STU_035,17122,COURSE_SEM2_EASY,7.0,0.08,0.41
STU_035,17122,COURSE_SEM4_HARD,7.5,0.08,0.16
STU_035,17122,COURSE_SEM4_EASY,3.5,0.08,0.23
STU_036,10441,COURSE_SEM1_MEDIUM,9.0,0.02,-0.06
STU_036,10441,COURSE_SEM2_MEDIUM,8.5,0.02,-0.0
STU_036,10441,COURSE_SEM2_HARD,0.5,0.02,-0.2
STU_036,10441,COURSE_SEM2_EASY,5.0,0.02,0.35
STU_036,10441,COURSE_SEM4_HARD,6.0,0.02,0.1
STU_036,10441,COURSE_SEM4_EASY,6.0,0.02,0.17
STU_037,16122,COURSE_SEM1_MEDIUM,1.0,0.0,-0.08
STU_037,16122,COURSE_SEM2_MEDIUM,8.5,0.0,-0.02
STU_037,16122,COURSE_SEM2_HARD,0.0,0.0,-0.22
STU_037,16122,COURSE_SEM2_EASY,10.0,0.0,0.33
STU_037,16122,COURSE_SEM4_HARD,6.5,0.0,-0.46
STU_037,16122,COURSE_SEM4_EASY,6.5,0.0,0.15
STU_038,18756,COURSE_SEM1_MEDIUM,2.0,-0.1,-0.18
STU_038,18756,COURSE_SEM2_MEDIUM,1.0,-0.1,-0.12
STU_038,18756,COURSE_SEM2_HARD,1.0,-0.1,-0.32
STU_038,18756,COURSE_SEM2_EASY,7.0,-0.1,0.23
STU_038,18756,COURSE_SEM4_HARD,2.0,-0.1,-0.56
STU_038,18756,COURSE_SEM4_EASY,5.0,-0.1,0.05
STU_039,18863,COURSE_SEM1_MEDIUM,0.0,-0.06,-0.14
STU_039,18863,COURSE_SEM2_MEDIUM,5.0,-0.06,-0.08
STU_039,18863,COURSE_SEM2_HARD,1.0,-0.06,-0.28
STU_039,18863,COURSE_SEM2_EASY,10.0,-0.06,0.27
STU_039,18863,COURSE_SEM4_HARD,2.0,-0.06,-0.52
STU_039,18863,COURSE_SEM4_EASY,5.5,-0.06,0.09
STU_040,18452,COURSE_SEM1_MEDIUM,2.0,0.09,0.01
STU_040,18452,COURSE_SEM2_MEDIUM,8.5,0.09,0.07
STU_040,18452,COURSE_SEM2_HARD,10.0,0.09,0.15
STU_040,18452,COURSE_SEM2_EASY,10.0,0.09,0.42
STU_040,18452,COURSE_SEM4_HARD,7.5,0.09,0.17
STU_040,18452,COURSE_SEM4_EASY,10.0,0.09,0.24
STU_041,18543,COURSE_SEM1_MEDIUM,8.5,0.01,-0.07
STU_041,18543,COURSE_SEM2_MEDIUM,1.5,0.01,-0.01
STU_041,18543,COURSE_SEM2_HARD,0.0,0.01,-0.21
STU_041,18543,COURSE_SEM2_EASY,9.0,0.01,0.34
STU_041,18543,COURSE_SEM4_HARD,5.0,0.01,-0.45
STU_041,18543,COURSE_SEM4_EASY,5.0,0.01,0.16
STU_042,16452,COURSE_SEM1_MEDIUM,10.0,0.01,-0.07
STU_042,16452,COURSE_SEM2_MEDIUM,7.5,0.01,-0.01
STU_042,16452,COURSE_SEM2_HARD,1.0,0.01,-0.21
STU_042,16452,COURSE_SEM2_EASY,7.5,0.01,0.34
STU_042,16452,COURSE_SEM4_HARD,0.5,0.01,-0.45
STU_042,16452,COURSE_SEM4_EASY,10.0,0.01,0.16
STU_043,10680,COURSE_SEM1_MEDIUM,5.0,0.09,0.01
STU_043,10680,COURSE_SEM2_MEDIUM,3.5,0.09,0.07
STU_043,10680,COURSE_SEM2_HARD,9.5,0.09,0.15
STU_043,10680,COURSE_SEM2_EASY,10.0,0.09,0.42
STU_043,10680,COURSE_SEM4_HARD,4.0,0.09,-0.37
STU_043,10680,COURSE_SEM4_EASY,10.0,0.09,0.24
STU_044,12462,COURSE_SEM1_MEDIUM,10.0,0.08,-0.0
STU_044,12462,COURSE_SEM2_MEDIUM,10.0,0.08,0.06
STU_044,12462,COURSE_SEM2_HARD,10.0,0.08,-0.14
STU_044,12462,COURSE_SEM2_EASY,10.0,0.08,0.41
STU_044,12462,COURSE_SEM4_HARD,0.0,0.08,-0.38
STU_044,12462,COURSE_SEM4_EASY,10.0,0.08,0.23
STU_045,12461,COURSE_SEM1_MEDIUM,1.0,0.02,-0.06
STU_045,12461,COURSE_SEM2_MEDIUM,9.0,0.02,-0.0
STU_045,12461,COURSE_SEM2_HARD,8.5,0.02,-0.2
STU_045,12461,COURSE_SEM2_EASY,10.0,0.02,0.35
STU_045,12461,COURSE_SEM4_HARD,0.0,0.02,-0.44
STU_045,12461,COURSE_SEM4_EASY,10.0,0.02,0.17
STU_046,16777,COURSE_SEM1_MEDIUM,2.5,-0.07,-0.15
STU_046,16777,COURSE_SEM2_MEDIUM,2.5,-0.07,-0.09
STU_046,16777,COURSE_SEM2_HARD,0.5,-0.07,-0.29
STU_046,16777,COURSE_SEM2_EASY,9.0,-0.07,0.26
STU_046,16777,COURSE_SEM4_HARD,0.0,-0.07,-0.53
STU_046,16777,COURSE_SEM4_EASY,7.0,-0.07,0.08
STU_047,15238,COURSE_SEM1_MEDIUM,4.5,-0.02,-0.1
STU_047,15238,COURSE_SEM2_MEDIUM,5.5,-0.02,-0.04
STU_047,15238,COURSE_SEM2_HARD,7.0,-0.02,0.04
STU_047,15238,COURSE_SEM2_EASY,10.0,-0.02,0.31
STU_047,15238,COURSE_SEM4_HARD,6.0,-0.02,0.06
STU_047,15238,COURSE_SEM4_EASY,1.0,-0.02,0.13
STU_048,18757,COURSE_SEM1_MEDIUM,10.0,-0.02,-0.1
STU_048,18757,COURSE_SEM2_MEDIUM,10.0,-0.02,-0.04
STU_048,18757,COURSE_SEM2_HARD,8.0,-0.02,-0.24
STU_048,18757,COURSE_SEM2_EASY,10.0,-0.02,0.31
STU_048,18757,COURSE_SEM4_HARD,2.5,-0.02,-0.48
STU_048,18757,COURSE_SEM4_EASY,6.0,-0.02,0.13
STU_049,16562,COURSE_SEM1_MEDIUM,3.0,0.0,-0.08
STU_049,16562,COURSE_SEM2_MEDIUM,9.5,0.0,-0.02
STU_049,16562,COURSE_SEM2_HARD,0.0,0.0,-0.22
STU_049,16562,COURSE_SEM2_EASY,10.0,0.0,0.33
STU_049,16562,COURSE_SEM4_HARD,1.0,0.0,-0.46
STU_049,16562,COURSE_SEM4_EASY,6.5,0.0,0.15
STU_050,15237,COURSE_SEM1_MEDIUM,2.0,0.01,-0.07
STU_050,15237,COURSE_SEM2_MEDIUM,10.0,0.01,-0.01
STU_050,15237,COURSE_SEM2_HARD,5.0,0.01,-0.21
STU_050,15237,COURSE_SEM2_EASY,7.0,0.01,0.34
STU_050,15237,COURSE_SEM4_HARD,2.5,0.01,-0.45
STU_050,15237,COURSE_SEM4_EASY,10.0,0.01,0.16
STU_051,13343,COURSE_SEM1_MEDIUM,9.0,-0.01,-0.09
STU_051,13343,COURSE_SEM2_MEDIUM,7.5,-0.01,-0.03
STU_051,13343,COURSE_SEM2_HARD,5.0,-0.01,-0.23
STU_051,13343,COURSE_SEM2_EASY,9.0,-0.01,0.32
STU_051,13343,COURSE_SEM4_HARD,10.0,-0.01,-0.47
STU_051,13343,COURSE_SEM4_EASY,5.0,-0.01,0.14
STU_052,10681,COURSE_SEM1_MEDIUM,5.0,0.08,0.0
STU_052,10681,COURSE_SEM2_MEDIUM,1.5,0.08,0.06
STU_052,10681,COURSE_SEM2_HARD,3.0,0.08,-0.14
STU_052,10681,COURSE_SEM2_EASY,9.0,0.08,0.41
STU_052,10681,COURSE_SEM4_HARD,1.0,0.08,-0.38
STU_052,10681,COURSE_SEM4_EASY,10.0,0.08,0.23
STU_053,12133,COURSE_SEM1_MEDIUM,1.0,0.01,-0.07
STU_053,12133,COURSE_SEM2_MEDIUM,5.5,0.01,-0.01
STU_053,12133,COURSE_SEM2_HARD,7.0,0.01,-0.21
STU_053,12133,COURSE_SEM2_EASY,9.5,0.01,0.34
STU_053,12133,COURSE_SEM4_HARD,1.0,0.01,-0.45
STU_053,12133,COURSE_SEM4_EASY,8.5,0.01,0.16
STU_054,19001,COURSE_SEM1_MEDIUM,2.0,-0.02,-0.1
STU_054,19001,COURSE_SEM2_MEDIUM,7.5,-0.02,-0.04
STU_054,19001,COURSE_SEM2_HARD,0.5,-0.02,-0.24
STU_054,19001,COURSE_SEM2_EASY,9.5,-0.02,0.31
STU_054,19001,COURSE_SEM4_HARD,2.0,-0.02,-0.48
STU_054,19001,COURSE_SEM4_EASY,10.0,-0.02,0.13
STU_055,17234,COURSE_SEM1_MEDIUM,3.0,-0.08,-0.16
STU_055,17234,COURSE_SEM2_MEDIUM,0.0,-0.08,-0.1
STU_055,17234,COURSE_SEM2_HARD,2.0,-0.08,-0.3
STU_055,17234,COURSE_SEM2_EASY,10.0,-0.08,0.25
STU_055,17234,COURSE_SEM4_HARD,1.5,-0.08,-0.54
STU_055,17234,COURSE_SEM4_EASY,1.0,-0.08,0.07
STU_056,18536,COURSE_SEM1_MEDIUM,2.0,-0.09,-0.17
STU_056,18536,COURSE_SEM2_MEDIUM,5.0,-0.09,-0.11
STU_056,18536,COURSE_SEM2_HARD,5.0,-0.09,-0.31
STU_056,18536,COURSE_SEM2_EASY,1.5,-0.09,0.24
STU_056,18536,COURSE_SEM4_HARD,5.0,-0.09,-0.55
STU_056,18536,COURSE_SEM4_EASY,1.5,-0.09,0.06
STU_057,11855,COURSE_SEM1_MEDIUM,7.5,0.01,-0.07
STU_057,11855,COURSE_SEM2_MEDIUM,1.0,0.01,-0.01
STU_057,11855,COURSE_SEM2_HARD,2.0,0.01,0.07
STU_057,11855,COURSE_SEM2_EASY,3.0,0.01,0.34
STU_057,11855,COURSE_SEM4_HARD,0.5,0.01,-0.45
STU_057,11855,COURSE_SEM4_EASY,10.0,0.01,0.16
STU_058,18346,COURSE_SEM1_MEDIUM,6.0,0.08,0.0
STU_058,18346,COURSE_SEM2_MEDIUM,1.0,0.08,0.06
STU_058,18346,COURSE_SEM2_HARD,5.0,0.08,0.14
STU_058,18346,COURSE_SEM2_EASY,10.0,0.08,0.41
STU_058,18346,COURSE_SEM4_HARD,8.5,0.08,-0.38
STU_058,18346,COURSE_SEM4_EASY,8.0,0.08,0.23
STU_059,10443,COURSE_SEM1_MEDIUM,7.5,0.1,0.02
STU_059,10443,COURSE_SEM2_MEDIUM,6.0,0.1,0.08
STU_059,10443,COURSE_SEM2_HARD,10.0,0.1,0.16
STU_059,10443,COURSE_SEM2_EASY,10.0,0.1,0.43
STU_059,10443,COURSE_SEM4_HARD,10.0,0.1,0.18
STU_059,10443,COURSE_SEM4_EASY,7.0,0.1,0.25
STU_060,11141,COURSE_SEM1_MEDIUM,5.0,0.01,-0.07
STU_060,11141,COURSE_SEM2_MEDIUM,6.5,0.01,-0.01
STU_060,11141,COURSE_SEM2_HARD,0.0,0.01,-0.21
STU_060,11141,COURSE_SEM2_EASY,10.0,0.01,0.34
STU_060,11141,COURSE_SEM4_HARD,10.0,0.01,0.09
STU_060,11141,COURSE_SEM4_EASY,6.0,0.01,0.16
STU_061,10677,COURSE_SEM1_MEDIUM,3.5,0.0,-0.08
STU_061,10677,COURSE_SEM2_MEDIUM,3.5,0.0,-0.02
STU_061,10677,COURSE_SEM2_HARD,10.0,0.0,0.06
STU_061,10677,COURSE_SEM2_EASY,10.0,0.0,0.33
STU_061,10677,COURSE_SEM4_HARD,3.0,0.0,-0.46
STU_061,10677,COURSE_SEM4_EASY,5.0,0.0,0.15
STU_062,11635,COURSE_SEM1_MEDIUM,2.5,0.07,-0.01
STU_062,11635,COURSE_SEM2_MEDIUM,6.0,0.07,0.05
STU_062,11635,COURSE_SEM2_HARD,7.0,0.07,0.13
STU_062,11635,COURSE_SEM2_EASY,10.0,0.07,0.4
STU_062,11635,COURSE_SEM4_HARD,8.0,0.07,0.15
STU_062,11635,COURSE_SEM4_EASY,10.0,0.07,0.22
STU_063,13674,COURSE_SEM1_MEDIUM,6.0,0.0,-0.08
STU_063,13674,COURSE_SEM2_MEDIUM,7.0,0.0,-0.02
STU_063,13674,COURSE_SEM2_HARD,9.5,0.0,0.06
STU_063,13674,COURSE_SEM2_EASY,9.5,0.0,0.33
STU_063,13674,COURSE_SEM4_HARD,2.0,0.0,-0.46
STU_063,13674,COURSE_SEM4_EASY,8.0,0.0,0.15
STU_064,14123,COURSE_SEM1_MEDIUM,3.0,-0.09,-0.17
STU_064,14123,COURSE_SEM2_MEDIUM,5.0,-0.09,-0.11
STU_064,14123,COURSE_SEM2_HARD,2.0,-0.09,-0.31
STU_064,14123,COURSE_SEM2_EASY,10.0,-0.09,0.24
STU_064,14123,COURSE_SEM4_HARD,3.0,-0.09,-0.55
STU_064,14123,COURSE_SEM4_EASY,2.0,-0.09,0.06
STU_065,11741,COURSE_SEM1_MEDIUM,5.0,0.09,0.01
STU_065,11741,COURSE_SEM2_MEDIUM,10.0,0.09,0.07
STU_065,11741,COURSE_SEM2_HARD,10.0,0.09,0.15
